epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,188191,1.37443,0.7158,0.78987,0.85177,0.80651,0.86078,0.52798,1.17265,0.59492,0.77593,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,190652,1.36935,0.71011,0.78994,0.85112,0.8073,0.86096,0.52846,1.17168,0.59424,0.77585,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,192896,1.37012,0.71168,0.79019,0.85224,0.80686,0.86148,0.52879,1.17082,0.59378,0.77576,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,195123,1.36446,0.70982,0.7899,0.85239,0.80707,0.86178,0.5289,1.16989,0.59283,0.77576,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,197395,1.36587,0.71025,0.78923,0.85263,0.80728,0.86195,0.52938,1.16922,0.59252,0.77568,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,199895,1.3678,0.71152,0.78969,0.8518,0.80831,0.86219,0.52956,1.16891,0.59177,0.77564,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,202413,1.36479,0.70954,0.78926,0.85188,0.80858,0.86235,0.52967,1.16823,0.59133,0.77558,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,204826,1.36928,0.70901,0.78985,0.85252,0.8087,0.8625,0.52982,1.16761,0.59069,0.77552,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,207368,1.36475,0.70706,0.78897,0.85259,0.80866,0.86246,0.52985,1.16744,0.59049,0.77546,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,209862,1.36527,0.70829,0.78974,0.85321,0.80772,0.86241,0.53008,1.16706,0.59037,0.77543,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
